title,author,isbn,date,price,pics
电子商务（英文精编版·第9版）,作者：（美）GaryP.Schneider著奎尼皮亚克大学,978-7-111-32673-1,2011-01-17,66.00 ,http://cmpbook.com/./26_files/32673_lFsfVG.jpg
编译原理（英文版·第2版）,作者：（美）AlfredV.Aho;MonicaS.Lam;RaviSethi;JeffreyD.Ullman著,978-7-111-32674-8,2011-01-05,78.00 ,http://cmpbook.com/./26_files/32674_GeQQup.jpg
实用IT项目管理（英文版·第3版）,作者：（美）JosephPhillips著,978-7-111-32594-9,2011-01-05,59.00 ,http://cmpbook.com/./26_files/32594_EYrju4.jpg
计算机文化（英文版·第13版）,作者：（美）JuneJamrichParsons，DanOja著,978-7-111-31799-9,2010-12-14,75.00 ,http://cmpbook.com/./26_files/31799_QkmdBE.jpg
计算机系统:集成方法（英文版）,"作者：（美）UmakishoreRamachandran,WilliamD.Leahy，Jr.著",978-7-111-31955-9,2010-11-03,69.00 ,http://cmpbook.com/./26_files/31955_BcIjyu.jpg
软件工程：实践者的研究方法（英文版·第7版）,作者：（美）RogerS.Pressman著,978-7-111-31871-2,2010-10-26,75.00 ,http://cmpbook.com/./27_files/31871_V2esXD.jpg
统计模型：理论和实践（英文版·第2版）,作者：（美）DavidA.Freedman著,978-7-111-31797-5,2010-10-25,38.00 ,http://cmpbook.com/./27_files/nophoto.gif
离散数学及其应用（英文精编版·第6版）,作者：(美)KennethH.Rosen著,978-7-111-31329-8,2010-10-25,55.00 ,http://cmpbook.com/./27_files/nophoto.gif
电工学原理及应用（英文精编版·第4版）,作者：(美)AllanR.Hambley著,978-7-111-31459-2,2010-10-22,55.00 ,http://cmpbook.com/./27_files/31459_0PsRVg.jpg
初等数论及其应用（英文版·第6版）,作者：（美）KennethH.Rosen著,978-7-111-31798-2,2010-10-10,89.00 ,http://cmpbook.com/./27_files/nophoto.gif
