title,author,isbn,date,price,pics
数字设计和计算机体系结构（英文版 ·第 2版 · ARM版）,作者：[美]莎拉L.哈里斯（SarahL.Harris）著,978-7-111-58679-1,2017-12-28,129.00 ,http://cmpbook.com/./6_files/586791.jpg
机器人学导论（英文版·第4版）,作者：[美]约翰J.克雷格（JohnJ.Craig）著,978-7-111-58672-2,2017-12-28,99.00 ,http://cmpbook.com/./7_files/586721.jpg
计算机科学引论（2017英文精编版）,作者：[美]蒂莫西J.奥利里（TimothyJ.O'Leary）琳达I.奥利里（LindaI.O'Leary）著,978-7-111-58526-8,2017-12-11,55.00 ,http://cmpbook.com/./7_files/585261.jpg
现代操作系统（英文版·第4版）,作者：（荷）安德鲁S.塔嫩鲍姆（AndrewS.Tanenbaum）赫伯特·博斯（HerbertBos）著,978-7-111-58165-9,2017-10-31,139.00 ,http://cmpbook.com/./7_files/581651.jpg
现代操作系统（英文版·第4版）,作者：（荷）安德鲁S.塔嫩鲍姆（AndrewS.Tanenbaum）赫伯特·博斯（HerbertBos）著,978-7-111-58165-9,2017-10-20,139.00 ,http://cmpbook.com/./7_files/581651.jpg
软件工程（英文版·第10版）,作者：[英]伊恩·萨默维尔（IanSommerville）著,978-7-111-58096-6,2017-10-19,129.00 ,http://cmpbook.com/./7_files/580961.jpg
离散数学及其在计算机科学中的应用（英文版）,作者：[美]克利福德·斯坦（CliffordStein）罗伯特L.戴斯得尔（RobertL.Drysdale）著,978-7-111-58097-3,2017-10-18,99.00 ,http://cmpbook.com/./8_files/580971.jpg
大数据导论（英文版）,作者：[美]托马斯·埃尔（ThomasErl）瓦吉德·哈塔克（WajidKhattak）著,978-7-111-58098-0,2017-10-18,59.00 ,http://cmpbook.com/./8_files/580981.jpg
财务管理精要（英文版·原书第3版）,作者：[美]尤金F.布里格姆（EugeneF.Brigham）乔尔F.休斯敦（JoelF.Houston）著,978-7-111-57936-6,2017-09-25,129.00 ,http://cmpbook.com/./8_files/579361.jpg
Java语言程序设计（基础篇）（英文版·第10版）,作者：[美]梁勇（Y.DanielLiang）著,978-7-111-57169-8,2017-06-27,99.00 ,http://cmpbook.com/./8_files/571691.jpg
Java语言程序设计（进阶篇）（英文版·第10版）,作者：[美]梁勇（Y.DanielLiang）著,978-7-111-57168-1,2017-06-27,99.00 ,http://cmpbook.com/./8_files/571681.jpg
机器学习：贝叶斯和优化方法（英文版）,作者：[希]西格尔斯.西奥多里蒂斯（SergiosTheodoridis）著,978-7-111-56526-0,2017-06-06,269.00 ,http://cmpbook.com/./9_files/565261.jpg
ARM嵌入式系统编程与优化（英文版）,作者：[希]西格尔斯.西奥多里蒂斯（SergiosTheodoridis）著,978-7-111-56528-4,2017-05-19,79.00 ,http://cmpbook.com/./9_files/565281.jpg
数据挖掘：实用机器学习工具与技术（英文版 ·第 4版）,作者：（美）埃里克S.罗伯茨（EricS.Roberts）,978-7-111-56527-7,2017-05-19,129.00 ,http://cmpbook.com/./9_files/565271.jpg
C++程序设计：基础、编程抽象与算法策略（英文版）,作者：[美]埃里克S.罗伯茨（EricS.Roberts）著,978-7-111-56149-1,2017-05-02,139.00 ,http://cmpbook.com/./9_files/561491.jpg
深入理解计算机系统（英文版·第3版）,作者：[美]兰德尔E.布莱恩特（RandalE.Bryant）大卫R.奥哈拉伦（DavidR.O'Hallaron）著,978-7-111-56127-9,2017-04-13,239.00 ,http://cmpbook.com/./9_files/561271.jpg
离散数学及其应用（英文精编版·第7版）,作者：[美]肯尼思H.罗森（KennethH.Rosen）著,978-7-111-55536-0,2017-02-13,79.00 ,http://cmpbook.com/./10_files/555361.jpg
国际商务谈判（英文版·原书第6版）,作者：（美）艾·里斯（AlRies），（美）杰克·特劳特（JackTrout）著,978-7-111-55634-3,2017-01-17,49.00 ,http://cmpbook.com/./10_files/556341.jpg
经济学（微观）（英文版·第5版）,作者：[美]R.格伦哈伯德（R.GlennHubbard）安东尼P.奥布赖恩（AnthonyP.O'Brien）,978-7-111-55348-9,2016-11-30,79.00 ,http://cmpbook.com/./10_files/553481.jpg
经济学（宏观）（英文版·第5版）,作者：[美]R.格伦哈伯德（R.GlennHubbard）安东尼P.奥布赖恩（AnthonyP.O'Brien）,978-7-111-54776-1,2016-09-26,59.00 ,http://cmpbook.com/./10_files/547761.jpg
国际金融（英文版·第12版）,作者：（美）大卫·艾特曼（DavidEiteman）阿瑟·斯通西尔（ArthurStonehill）著,978-7-111-54300-8,2016-08-03,79.00 ,http://cmpbook.com/./10_files/543001.jpg
期权与期货市场基本原理（英文版·原书第8版）,作者：[加]约翰·赫尔（JohnC.Hull）著,978-7-111-54214-8,2016-08-02,79.00 ,http://cmpbook.com/./11_files/542141.jpg
Java语言导学（英文版·第6版）,作者：[美]雷蒙德·盖拉多（RaymondGallardo）斯科特·霍梅尔（ScottHommel）著,978-7-111-53433-4,2016-05-06,129.00 ,http://cmpbook.com/./11_files/534331.jpg
云计算：概念、技术与架构（英文版）,作者：[美]托马斯·埃尔（ThomasErl）[英]扎哈姆·马哈茂德（ZaighamMahmood）著,978-7-111-53445-7,2016-05-06,89.00 ,http://cmpbook.com/./11_files/534451.jpg
程序设计导论：Python语言实践（英文版）,作者：[美]罗伯特·塞奇威克（RobertSedgewick）凯文·韦恩（KevinWayne）罗伯特·唐德罗（RobertDondero）著,978-7-111-52401-4,2016-01-19,139.00 ,http://cmpbook.com/./11_files/524011.jpg
Go程序设计语言（英文版）,作者：[美]艾伦A.A.多诺万（AlanA.A.Donovan）布莱恩W.柯尼汉（BrianW.Kernighan）著,978-7-111-52628-5,2016-01-19,79.00 ,http://cmpbook.com/./11_files/526281.jpg
C++程序设计语言（第4部分：标准库）（英文版第4版）,作者：[美]本贾尼·斯特劳斯特鲁普（BjarneStroustrup）著,978-7-111-52487-8,2016-01-14,89.00 ,http://cmpbook.com/./12_files/524871.jpg
C++程序设计语言（第1～3部分）（英文版·第4版）,作者：[美]本贾尼·斯特劳斯特鲁普（BjarneStroustrup）著,978-7-111-52386-4,2016-01-13,169.00 ,http://cmpbook.com/./12_files/523861.jpg
UNIX环境高级编程（英文版·第3版）,"作者：[美]W.理查德·史蒂文斯（W.RichardStevens）,斯蒂芬A.拉格（StephenA.Rago）著",978-7-111-52387-1,2016-01-13,159.00 ,http://cmpbook.com/./12_files/523871.jpg
软件工程：实践者的研究方法（英文精编版·第8版）,作者：（美）罗杰S.普莱斯曼（RogerS.Pressman）布鲁斯R.马克西姆（BruceR.Maxim）著,978-7-111-49931-2,2016-01-13,79.00 ,http://cmpbook.com/./12_files/499311.jpg
NoSQL精粹（英文版）,作者：[印]普拉莫德J.塞得拉吉（PramodJ.Sadalage）[美]马丁·福勒（MartinFowler）著,978-7-111-51800-6,2016-01-04,49.00 ,http://cmpbook.com/./12_files/518001.jpg
人件（英文版·第3版）,作者：（美）汤姆·迪马可（TomDeMarco）蒂莫西·利斯特（TimothyLister）著,978-7-111-51798-6,2015-12-10,69.00 ,http://cmpbook.com/./13_files/517981.jpg
多媒体系统：算法、标准和工业实践（英文精编版）,作者：[美]保劳格·哈沃达尔（ParagHavaldar）杰拉德·梅迪奥尼（GerardMedioni）著,978-7-111-49929-9,2015-07-06,79.00 ,http://cmpbook.com/./13_files/499291.jpg
IT项目管理（英文精编版·第7版）,作者：（法）MarkWalker著,978-7-111-49928-2,2015-06-10,79.00 ,http://cmpbook.com/./13_files/499281.jpg
高性能嵌入式计算（英文版·第2版）,作者：[美]玛里琳·沃尔夫（MarilynWolf）著,978-7-111-49930-5,2015-06-05,79.00 ,http://cmpbook.com/./13_files/499301.jpg
系统分析与设计：敏捷迭代方法（英文精编版·第6版）,作者：[美]约翰W.萨茨辛格(JohnW.Satzinger)罗伯特B.杰克逊（RobertB.Jackson）史蒂芬D.伯德（StephenD.Burd）著,978-7-111-49937-4,2015-06-05,69.00 ,http://cmpbook.com/./13_files/499371.jpg
计算机专业英语（2014英文版）,作者：（美）TimothyJ.O'LearyLindaI.O'Leary著,978-7-111-48735-7,2015-02-12,55.00 ,http://cmpbook.com/./14_files/487351.jpg
计算机科学引论（2014英文版）,作者：（美）TimothyJ.O'LearyLindaI.O'Leary著,978-7-111-48934-4,2015-02-12,69.00 ,http://cmpbook.com/./14_files/489341.jpg
计算机科学概论（英文版·第5版）,作者：（美）NellDaleJohnLewis著,978-7-111-44813-6,2015-02-11,69.00 ,http://cmpbook.com/./14_files/448131.jpg
数据、模型与决策：基于电子表格的建模和案例研究方法（英文版•原书第4版）,作者：（美）弗雷德里克S.希利尔（FrederickS.Hillier）、（美）马克S.希利尔（MarkS.Hiller）著,978-7-111-48099-0,2014-11-03,85.00 ,http://cmpbook.com/./14_files/480991.jpg
跨国金融管理（上册）（英文版.原书第2版）,作者：（美）吉尔特.贝克特（GeertJBekaert），哥伦比亚大学；罗伯特.霍德里克（RobertJ.Hodrick），哥伦比亚大学著,978-7-111-47215-5,2014-08-08,49.00 ,http://cmpbook.com/./14_files/472151.jpg
跨国金融管理（下册）（英文版.原书第2版）,作者：（美）科里·帕特森（KerryPatterson）等著,978-7-111-47216-2,2014-08-08,59.00 ,http://cmpbook.com/./15_files/472161.jpg
国际商务：环境与运作（英文版·原书第13版）,作者：（美）约翰D.丹尼尔斯（JohnD.Daniels）迈阿密大学李H.拉德巴赫（LeeH.Radebaugh）杨百翰大学丹尼尔P.沙利文（DanielP.Sullivan）特拉华大学著,978-7-111-46099-2,2014-04-10,99.00 ,http://cmpbook.com/./15_files/460991.jpg
计算机组成与设计：硬件/软件接口（英文版·第5版·亚洲版）,"作者：（美）帕特森（Patterson,D.A），（美）亨尼斯（Hennessy,J.L.）著",978-7-111-45316-1,2014-02-11,139.00 ,http://cmpbook.com/./15_files/453161.jpg
会计学基础（英文版·原书第11版）,作者：(美)莱斯利K.布莱特纳（LeslieBreitner）麦吉尔大学德桑特尔斯管理学院（美）罗伯特N.安东尼（RobertAnthony）哈佛大学商学院著,978-7-111-44854-9,2013-12-31,39.00 ,http://cmpbook.com/./15_files/448541.jpg
数字设计和计算机体系结构（英文版·第2版）,作者：（美）DavidMoneyHarris哈维玛德学院SarahL.Harris哈维玛德学院著,978-7-111-44810-5,2013-12-31,129.00 ,http://cmpbook.com/./15_files/448101.jpg
货币金融学原理（英文版·原书第12版）,作者：（美）劳伦斯S.里特（LawrenceS.Ritter）威廉L.西尔伯（WilliamL.Silber）格雷戈里F.尤德尔（GregoryF.Udell）著,978-7-111-43833-5,2013-09-23,65.00 ,http://cmpbook.com/./16_files/438331.jpg
物流管理（英文版·原书第4版）,作者：（英）艾伦·哈里森（AlanHarrison）克兰菲尔德大学（荷）雷姆科·范赫克（RemkovanHoek）克兰菲尔德物流与供应链管理研究中心,978-7-111-43863-2,2013-09-11,50.00 ,http://cmpbook.com/./16_files/438631.jpg
货币金融学（英文版·原书第2版）,作者：(美)弗雷德里克S.米什金（FredericS.Mishkin）著,978-7-111-43395-8,2013-09-04,85.00 ,http://cmpbook.com/./16_files/433951.jpg
计算机文化（英文版·第15版）,作者：（美）JuneJamrichParsonsDanOja著,978-7-111-42803-9,2013-08-28,79.00 ,http://cmpbook.com/./16_files/428031.jpg
电子商务（英文精编版·第10版）,作者：（美）GaryP.Schneider著,978-7-111-43433-7,2013-08-28,69.00 ,http://cmpbook.com/./16_files/434331.jpg
数据通信与网络（英文版·第5版）,作者：（美）BehrouzA.Forouzan著,978-7-111-42743-8,2013-07-15,89.00 ,http://cmpbook.com/./17_files/427431.jpg
C和C++安全编码（英文版·第2版）,作者：（美）RobertC.Seacord著,978-7-111-42804-6,2013-07-04,89.00 ,http://cmpbook.com/./17_files/428041.jpg
C++程序设计（英文版·第3版）,作者：（美）Y.DanielLiang著,978-7-111-42505-2,2013-06-08,79.00 ,http://cmpbook.com/./17_files/425051.jpg
大规模并行处理器程序设计（英文版·第2版）,作者：（美）DavidB.Kirk；Wen-meiW.Hwu著,978-7-111-41629-6,2013-03-28,79.00 ,http://cmpbook.com/./17_files/416291.jpg
Python语言程序设计（英文版）,作者：（美）Y.DanielLiang著阿姆斯特朗亚特兰大州立大学,978-7-111-41234-2,2013-03-15,79.00 ,http://cmpbook.com/./17_files/412341.jpg
现代嵌入式计算（英文版）,作者：（美）PeterBarryIntel公司PatrickCrowley华盛顿大学圣路易斯分校著,978-7-111-41235-9,2013-03-08,79.00 ,http://cmpbook.com/./18_files/41235_ZlIrkh.jpg
计算机与机器视觉：理论、算法与实践（英文版·第4版）,"作者：（英）戴维斯（Davies,E.R.）著",978-7-111-41232-8,2013-03-07,128.00 ,http://cmpbook.com/./18_files/41232_22Zsvv.jpg
计算机组成与设计：硬件/软件接口（英文版·第4版）,作者：（美）DavidA.Patterson加州大学伯克利分校JohnL.Hennessy斯坦福大学著,978-7-111-41237-3,2013-03-04,139.00 ,http://cmpbook.com/./18_files/41237_Shktga.jpg
多处理器编程的艺术（英文版·修订版）,作者：（美）MauriceHerlihy布朗大学NirShavit麻省理工学院著,978-7-111-41233-5,2013-03-04,79.00 ,http://cmpbook.com/./18_files/41233_mOiDsW.jpg
嵌入式计算系统设计原理（英文版·第3版）,作者：（美）MarilynWolf著,978-7-111-41228-1,2013-02-26,79.00 ,http://cmpbook.com/./18_files/41228_Qtqd5q.jpg
数据结构与算法分析——Java语言描述（英文版·第3版）,作者：（美）MarkAllenWeiss著,978-7-111-41236-6,2013-02-26,79.00 ,http://cmpbook.com/./19_files/41236_nNJ6pW.jpg
期权与期货市场基本原理(英文版·第7版),作者：（加）约翰·赫尔（JohnC.Hull)著（加拿大多伦多大学）,978-7-111-39173-9,2013-02-16,69.00 ,http://cmpbook.com/./19_files/39173_MoiMbG.jpg
数据库系统概念（英文精编版·第6版）,作者：（美）AbrahamSilberschatz耶鲁大学HenryF.Korth利哈伊大学（印）S.Sudarshan印度理工学院著,978-7-111-40086-8,2012-12-26,69.00 ,http://cmpbook.com/./19_files/40086_ixH6Qn.jpg
计算机组成与嵌入式系统（英文版·第6版）,作者：（加）CarlHamacher女皇大学ZvonkoVranesic多伦多大学SafwatZaky多伦多大学NaraigManjikian女皇大学著,978-7-111-37721-4,2012-12-25,69.00 ,http://cmpbook.com/./19_files/37721_TLeHwS.jpg
C语言程序设计教程（英文版）,"作者：H.H.Tan,T.B.D'Orazio,S.H.Or,MarianM.Y.Choy著",978-7-111-40432-3,2012-12-25,49.00 ,http://cmpbook.com/./19_files/40432_uTO0pZ.jpg
分布式系统：概念与设计（英文版·第5版）,作者：（英）GeorgeCoulouris，JeanDollimore，TimKindberg，GordonBlair著,978-7-111-39772-4,2012-10-31,139.00 ,http://cmpbook.com/./20_files/39772_pk8brE.jpg
离散数学及其应用（英文版第7版）,作者：（美）KennethH.Rosen著,978-7-111-38550-9,2012-10-19,99.00 ,http://cmpbook.com/./20_files/38550_oDDhyX.jpg
软件测试：原理与实践（英文版）,"作者：（爱尔兰）StephenBrown,JoeTimoney,TomLysaght（中国）DeshiYe（叶德仕）著",978-7-111-38863-0,2012-09-27,35.00 ,http://cmpbook.com/./20_files/38863_pH0YV1.jpg
国际商务谈判（英文版·原书第5版）,作者：（美）罗伊J.列维奇（RoyJ.Lewicki）戴维M.桑德斯（DavidM.Saunders）布鲁斯·巴里（BruceBarry）著,978-7-111-38907-1,2012-07-10,39.00 ,http://cmpbook.com/./20_files/38907_DuMeQx.jpg
数字信号处理：系统分析与设计（英文版 第2版）,"作者：（巴西）PauloS.R.Diniz,EduardoA.B.daSilva,SergioL.Netto著",978-7-111-38253-9,2012-06-26,79.00 ,http://cmpbook.com/./20_files/38253_9awqiR.jpg
市场营销原理（亚洲版·英文第2版）,作者：（美）菲利普·科特勒（PhilipKotler）西北大学（美）加里·阿姆斯特朗（GaryArmstrong）北卡罗来纳大学（新）洪瑞云（SweeHoonAng）新加坡国立大学（新）梁绍明（SiewMengLeong）新加坡国立大学（新）陈振忠（ChinTiongTan）新加坡管理大学（中）游汉明（OliverYauHon-Ming）香港城市大学著,978-7-111-38252-2,2012-05-25,79.00 ,http://cmpbook.com/./21_files/38252_6D4uLD.jpg
TCP/IP详解 卷1：协议（英文版·第2版）,"作者：（美）KevinR.Fall,W.RichardStevens著",978-7-111-38228-7,2012-05-25,129.00 ,http://cmpbook.com/./21_files/38228_xfJJHy.jpg
云计算与分布式系统：从并行处理到物联网（英文版）,作者：（美）KaiHwang;GeoffreyC.Fox;JackJ.Dongarra著,978-7-111-38227-0,2012-05-17,99.00 ,http://cmpbook.com/./21_files/38227_o9cgnW.jpg
计算机组成(英文精编版·第6版),作者：（加）CarlHamacher女皇大学ZvonkoVranesic多伦多大学SafwatZaky多伦多大学NaraigManjikian女皇大学著,978-7-111-37721-4,2012-04-26,49.00 ,http://cmpbook.com/./21_files/37721_vs18wY.jpg
计算机网络：系统方法（英文版·第5版）,作者：（美）LarryL.Peterson普林斯顿大学BruceS.DavieCisco公司著,978-7-111-37720-7,2012-04-12,139.00 ,http://cmpbook.com/./21_files/37720_0psxAl.jpg
数据挖掘：实用机器学习工具与技术（英文版·第3版）,作者：（新西兰）IanH.Witten怀卡托大学EibeFrank怀卡托大学MarkA.Hall怀卡托大学著,978-7-111-37417-6,2012-03-22,108.00 ,http://cmpbook.com/./22_files/37417_Z2LmZn.jpg
数据挖掘：概念与技术（英文版·第3版）,作者：（美）JiaweiHan伊利诺伊大学厄巴纳-尚佩恩分校（加）MichelineKamber西蒙-弗雷泽大学（加）JianPei西蒙-弗雷泽大学著,978-7-111-37431-2,2012-03-22,118.00 ,http://cmpbook.com/./22_files/37431_uPK4Yz.jpg
计算机网络教程：自顶向下方法（英文版）,作者：（美）BehrouzA.Forouzan;FirouzMosharraf著,978-7-111-37430-5,2012-03-15,79.00 ,http://cmpbook.com/./22_files/37430_KMbSxJ.jpg
运营管理（英文版·原书第11版）,作者：（美）威廉J.史蒂文森（WilliamJ.Stevenson）罗切斯特理工学院著,978-7-111-36895-3,2012-01-17,55.00 ,http://cmpbook.com/./22_files/36895_84MSsv.jpg
计算机体系结构：量化研究方法（英文版·第5版）,作者：（美）JohnL.Hennessy斯坦福大学；DavidA.Patterson等著加州大学伯克利分校,978-7-111-36458-0,2011-12-28,138.00 ,http://cmpbook.com/./22_files/36458_j4zQwY.jpg
Java语言程序设计：基础篇（英文版·第8版）,作者：（美）Y.DanielLiang著阿姆斯特朗亚特兰大州立大学,978-7-111-36122-0,2011-11-21,89.00 ,http://cmpbook.com/./23_files/36122_ka8DZ4.jpg
Java语言程序设计：进阶篇（英文版·第8版）,作者：（美）Y.DanielLiang著阿姆斯特朗亚特兰大州立大学,978-7-111-36125-1,2011-11-21,89.00 ,http://cmpbook.com/./23_files/36125_sG60be.jpg
人力资源管理(英文版 • 第11版),作者：（美）R．韦恩•蒙迪（R.WayneMondy）朱迪B.蒙迪(JudyB.Mondy)著,978-7-111-35831-2,2011-10-26,49.00 ,http://cmpbook.com/./23_files/35831_pymQ3d.jpg
并行程序设计导论（英文版）,作者：(美)PeterS.Pacheco著旧金山大学,978-7-111-35828-2,2011-10-26,65.00 ,http://cmpbook.com/./23_files/35828_nvx2Kp.jpg
软件工程：实践者的研究方法（英文精编版·第7版）,作者：（美）RogerS.Pressman著,978-7-111-35965-4,2011-10-26,49.00 ,http://cmpbook.com/./23_files/35965_lxvC06.jpg
经济学（宏观）（英文版 原书第3版）,作者：（美）R.格伦·哈伯德（R.GlennHubbard）安东尼·帕特里克·奥布赖恩（AnthonyPatrickO’Brien）著,978-7-111-35870-1,2011-10-11,59.00 ,http://cmpbook.com/./24_files/35870_9eCAsU.jpg
人工智能：智能系统指南（英文版·第3版）,作者：（澳）MichaelNegnevitsky著,978-7-111-35822-0,2011-10-11,49.00 ,http://cmpbook.com/./24_files/35822_PqKyOy.jpg
计算机网络（英文版·第5版）,作者：（荷）AndrewS.Tanenbaum阿姆斯特丹Vrije大学（美）DavidJ.Wetherall华盛顿大学西雅图分校著,978-7-111-35925-8,2011-10-09,99.00 ,http://cmpbook.com/./24_files/35925_yZaY7s.jpg
微机电系统基础（英文版·第2版）,作者：(美)ChangLiu(刘昶)著西北大学,978-7-111-35827-5,2011-09-30,79.00 ,http://cmpbook.com/./24_files/35827_tCKcjE.jpg
系统分析与设计导论（英文版）,作者：（美）JeffreyL.Whitten；LonnieD.Bentley著,978-7-111-35278-5,2011-09-01,79.00 ,http://cmpbook.com/./24_files/35278_fnUdH2.jpg
软件工程：面向对象和传统的方法（英文版·第8版）,作者：（美）StephenR.Schach著范德比尔特大学,978-7-111-34196-3,2011-08-09,79.00 ,http://cmpbook.com/./25_files/34196_Vne5Re.jpg
软件工程（英文版·第9版）,作者：（英）IanSommerville著圣安德鲁斯大学,978-7-111-34825-2,2011-08-08,99.00 ,http://cmpbook.com/./25_files/34825_FCvq0m.jpg
现代信息检索（英文版·第2版）,作者：（美）RicardoBaeza-Yates；BerthierRibeiro-Neto著,978-7-111-33174-2,2011-02-28,78.00 ,http://cmpbook.com/./25_files/33174_WIREv8.jpg
Linux内核设计与实现（英文版·第3版）,作者：（美）RobertLove著,978-7-111-32792-9,2011-01-17,69.00 ,http://cmpbook.com/./25_files/32792_EtXsZ3.jpg
深入理解计算机系统（英文版·第2版）,作者：（美）RandalE.Bryant;DavidR.O'Hallaron著,978-7-111-32631-1,2011-01-17,128.00 ,http://cmpbook.com/./25_files/32631_wsAOc2.jpg
